"","Distinct-directional (dn)","Mixed-directional (dn)","Non-directional","Mixed-directional (up)","Distinct-directional (up)"
"EHMN_MM_ANDROGEN_AND_ESTROGEN_BIOSYNTHESIS_AND_METABOLISM",0.00039996,0.021748,0.067393,0.758875,0.9997
"EHMN_MM_ARACHIDONIC_ACID_METABOLISM",0.0032997,0.028097,0.087991,0.727875,0.9968
"EHMN_MM_C21-STEROID_HORMONE_BIOSYNTHESIS_AND_METABOLISM",9.999e-05,0.0149485,0.012799,NA,1
"EHMN_MM_DI-UNSATURATED_FATTY_ACID_BETA-OXIDATION",0.00049995,0.079042,0.14069,0.89661,0.9996
"EHMN_MM_GLYCINE_SERINE_ALANINE_AND_THREONINE_METABOLISM",0.11714,0.77632,0.69963,0.20073,0.88296
"EHMN_MM_LEUKOTRIENE_METABOLISM",0.000649935,0.080792,0.32677,0.92026,0.99935
"EHMN_MM_LINOLEATE_METABOLISM",0.000149985,0.027097,0.031297,0.548,0.99995
"EHMN_MM_MONO-UNSATURATED_FATTY_ACID_BETA-OXIDATION",0.0019998,0.20303,0.35896,0.89661,0.99825
"EHMN_MM_OMEGA-6_FATTY_ACID_METABOLISM",0.00104991,0.057644,0.10349,0.79017,0.99875
"EHMN_MM_PROPANOATE_METABOLISM",0.00029997,0.13204,0.16888,0.67358,0.9998
"EHMN_MM_PURINE_METABOLISM",0.60649,0.722075,0.45775,0.153335,0.39361
"EHMN_MM_PYRIMIDINE_METABOLISM",0.79267,0.88341,0.56454,0.18158,0.20743
"EHMN_MM_TCA_CYCLE",0.00224975,0.23988,0.30997,0.71173,0.998
"EHMN_MM_TRYPTOPHAN_METABOLISM",0.000349965,0.0151485,0.19768,0.955255,0.99975
"EHMN_MM_TYROSINE_METABOLISM",0.00459955,0.31222,0.86151,0.9931,0.9955
"EHMN_MM_UREA_CYCLE_AND_METABOLISM_OF_ARGININE_PROLINE_GLUTAMATE_ASPARTATE_AND_ASPARAGINE",9.999e-05,0.0058494,0.13259,0.9861,1
"EHMN_MM_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",9.999e-05,0.040346,0.045595,0.655735,1
"EHMN_MM_VITAMIN_A_RETINOL_METABOLISM",0.00744925,0.039896,0.032197,NA,0.99265
"EHMN_MM_VITAMIN_B9_FOLATE_METABOLISM",0.59444,0.86621,0.50955,0.060344,0.40566
"EHMN_MM_XENOBIOTICS_METABOLISM",0.000749925,0.036846,0.19618,0.90711,0.99935
"HUMANCYC_MM_3-PHOSPHOINOSITIDE_BIOSYNTHESIS",0.038646,0.0854915,0.072693,NA,0.9618
"HUMANCYC_MM_3-PHOSPHOINOSITIDE_DEGRADATION",0.0128985,0.0438455,0.038896,NA,0.9872
"HUMANCYC_MM_FATTY_ACID_ACTIVATION",0.000249975,0.00249975,0.0010999,NA,0.99985
"HUMANCYC_MM_FATTY_ACID_BETA-OXIDATION_I",0.000649935,0.10849,0.22908,0.89661,0.99945
"HUMANCYC_MM_ISOLEUCINE_DEGRADATION_I",0.00234975,0.12349,0.15138,0.61274,0.997
"HUMANCYC_MM_NICOTINE_DEGRADATION_II",0.14219,0.032597,0.13709,0.660835,0.85791
"HUMANCYC_MM_PURINE_NUCLEOTIDES_IDE_NOVO_I_BIOSYNTHESIS_II",0.99845,0.76922,0.049995,0.017698,0.00164985
"HUMANCYC_MM_PYRIMIDINE_DEOXYRIBONUCLEOTIDES_IDE_NOVO_I_BIOSYNTHESIS_I",0.63359,0.88136,0.62324,0.14554,0.36651
"HUMANCYC_MM_PYRIMIDINE_RIBONUCLEOTIDES_IDE_NOVO_I_BIOSYNTHESIS",0.77382,0.40046,0.11909,0.083542,0.22628
"HUMANCYC_MM_RETINOL_BIOSYNTHESIS",0.649235,0.453905,0.16988,0.0862415,0.350865
"HUMANCYC_MM_SALVAGE_PATHWAYS_OF_PYRIMIDINE_RIBONUCLEOTIDES",0.735675,0.63184,0.33117,0.14554,0.264425
"HUMANCYC_MM_STEARATE_BIOSYNTHESIS_I_ANIMALS",0.00049995,0.002099805,0.0073993,0.87121,0.9996
"HUMANCYC_MM_SUPERPATHWAY_OF_CITRULLINE_METABOLISM",0.00384965,0.013399,0.093491,0.83642,0.99625
"HUMANCYC_MM_SUPERPATHWAY_OF_INOSITOL_PHOSPHATE_COMPOUNDS",0.038646,0.0854915,0.072693,NA,0.9618
"HUMANCYC_MM_SUPERPATHWAY_OF_METHIONINE_DEGRADATION",0.00144985,0.25807,0.21838,0.353065,0.99865
"HUMANCYC_MM_THE_VISUAL_CYCLE",0.831315,0.34137,0.09869,0.0862415,0.168785
"HUMANCYC_MM_VALINE_DEGRADATION_I",9.999e-05,0.021998,0.018498,NA,1
"KEGG_MM_ADIPOCYTOKINE_SIGNALING_PATHWAY",0.029497,0.021498,0.012699,0.16693,0.9706
"KEGG_MM_AFRICAN_TRYPANOSOMIASIS",0.90256,NA,0.26567,0.29887,0.097541
"KEGG_MM_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0.00039996,0.00069993,0.0029997,0.55339,0.9997
"KEGG_MM_ALLOGRAFT_REJECTION",0.86706,0.89386,0.48255,0.20073,0.13314
"KEGG_MM_ALZHEIMERS_DISEASE",9.999e-05,0.00049995,0.0033997,0.94741,1
"KEGG_MM_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",0.91146,0.040196,0.21878,0.5041,0.088641
"KEGG_MM_AMOEBIASIS",0.9721,0.99525,0.92191,0.57174,0.028747
"KEGG_MM_AMYOTROPHIC_LATERAL_SCLEROSIS",0.14659,0.053895,0.45085,0.92061,0.85351
"KEGG_MM_ANTIGEN_PROCESSING_AND_PRESENTATION",0.946455,0.99215,0.90041,0.4703,0.0559445
"KEGG_MM_ARACHIDONIC_ACID_METABOLISM",0.013299,0.00869915,0.015698,0.41541,0.9868
"KEGG_MM_ARGININE_AND_PROLINE_METABOLISM",0.000549945,0.009799,0.22008,0.9852,0.99955
"KEGG_MM_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY",0.950805,0.656535,0.81162,0.76787,0.0493955
"KEGG_MM_AUTOIMMUNE_THYROID_DISEASE",0.86706,0.89386,0.48255,0.20073,0.13314
"KEGG_MM_AXON_GUIDANCE",0.97935,0.5171,0.26647,0.29327,0.019898
"KEGG_MM_BASE_EXCISION_REPAIR",0.9974,NA,0.011099,0.0089991,0.0026997
"KEGG_MM_BUTANOATE_METABOLISM",0.000849925,0.095491,0.10369,0.568495,0.99895
"KEGG_MM_CARDIAC_MUSCLE_CONTRACTION",0.000249975,0.020598,0.0089991,0.159835,0.9998
"KEGG_MM_CELL_ADHESION_MOLECULES",0.946705,0.89386,0.49175,0.29662,0.0533945
"KEGG_MM_CHAGAS_DISEASE",0.90436,0.92951,0.88281,0.69973,0.095741
"KEGG_MM_CHEMICAL_CARCINOGENESIS",0.0016498,0.0043996,0.032697,0.73503,0.99845
"KEGG_MM_CITRATE_CYCLE",0.00059994,0.081692,0.14889,0.71173,0.9995
"KEGG_MM_COMPLEMENT_AND_COAGULATION_CASCADES",1,0.5036,0.00019998,9.999e-05,9.999e-05
"KEGG_MM_CYTOKINE-CYTOKINE_RECEPTOR_INTERACTION",0.016748,0.033597,0.033297,NA,0.98385
"KEGG_MM_D-GLUTAMINE_AND_D-GLUTAMATE_METABOLISM",0.00649935,0.020798,0.016398,NA,0.9936
"KEGG_MM_DILATED_CARDIOMYOPATHY",0.93491,0.43031,0.61654,0.63244,0.0652435
"KEGG_MM_DORSO-VENTRAL_AXIS_FORMATION",0.22403,0.033597,0.55954,0.90011,0.77607
"KEGG_MM_DRUG_METABOLISM_CYTOCHROME_P450",9.999e-05,0.00049995,0.0046995,0.82697,1
"KEGG_MM_DRUG_METABOLISM_OTHER_ENZYMES",0.246975,0.36311,0.091091,0.038046,0.753125
