"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P99024",3.24322126024304,26.0055915859094,21.3708568169474,3.94361406770208e-13,7.3757169935025e-10,20.4554746631808
"Q9DBG1",-3.91340051524305,26.2687345365111,-24.2304931280364,9.22095811186748e-13,7.3757169935025e-10,19.5985074670784
"Q8CI94",5.85865057713256,23.7649569119666,21.6212276709262,1.17323175930581e-12,7.3757169935025e-10,19.40666379013
"Q9Z2Z6",-3.91767644569251,25.1600253086385,-19.2806419632907,1.91066792620384e-12,7.83826465695452e-10,18.9039178475674
"P29758",-5.50205749383046,25.0030745898639,-20.7819657681511,2.07801289951074e-12,7.83826465695452e-10,18.8524325713986
"Q05421",-5.50480950249071,26.353863575962,-22.4312738329181,2.62593919003607e-12,8.25420218734671e-10,18.6164826643569
"Q8R0W0",3.95416306840598,26.5505059930305,17.47445780901,8.53117308405677e-12,2.29854177664729e-09,17.4142765112641
"Q3TW96",4.52567252506362,23.7481406516178,16.4738217899388,2.07872873891532e-11,4.90060300199287e-09,16.5203860716808
"O35423-2",-6.19194042526108,25.5432450825043,-23.4456857143016,2.55093960882706e-11,5.10188943092848e-09,16.28237140359
"Q9DCQ2",-4.78483873455466,25.8818944722939,-23.1719931657388,2.92497411870821e-11,5.10188943092848e-09,16.161674640582
"P62897",-2.57974110048895,27.0730572829074,-16.0855616502155,2.97565131178225e-11,5.10188943092848e-09,16.1590076637975
"P58710",-4.13749959452777,26.1487021859066,-18.0718332767484,4.80845291211136e-11,6.95249558697808e-09,15.8053755105557
"Q61147",5.8327361486173,26.0860444661283,15.582468988997,4.79180851334084e-11,6.95249558697808e-09,15.6779016041805
"Q9DBG5",4.40316614751391,24.1962084091243,15.5053801030398,5.16091931164863e-11,6.95249558697808e-09,15.6028592465485
"Q8K310",1.84421354963406,25.172666232982,15.2591480954918,6.55574536956685e-11,8.24275717800205e-09,15.3607447578697
"Q921F2",2.31361409489699,24.7792844719811,15.006248969297,8.41156739670179e-11,9.91513506886224e-09,15.1081636586636
"Q9Z204-2",2.71114620237483,24.4986919424893,14.8145271825433,1.01862660772985e-10,1.13007634245794e-08,14.9139795879895
"Q01339",4.05416317403105,25.0080573343962,14.7118388761871,1.12961874038458e-10,1.15475124369491e-08,14.8089956969038
"Q64737",2.29439058186334,24.8038793254208,14.6827612992516,1.16332309810198e-10,1.15475124369491e-08,14.7791429340648
"Q99020",2.48537547229271,26.146086280047,14.0981988104812,2.12404085492675e-10,2.00297052619592e-08,14.1669848685339
"Q91X52",-3.27658356177076,23.8067584845364,-14.904143237379,2.36050120446612e-10,2.1199548912491e-08,14.1462496214909
"Q8BTM8",5.68919497989576,23.5993557077007,13.9390412051307,2.51171495426593e-10,2.15322472897525e-08,13.996242523586
"P24456",-1.89649499212927,27.0986645583478,-13.8121830137629,2.87418620109849e-10,2.35683268490076e-08,13.8588642597226
"P11276",3.23190124772679,27.5471094750745,13.7645484144559,3.02424498206702e-10,2.37655251507433e-08,13.8069812773998
"Q9WVA4",3.41671678713785,26.2433836036142,13.5753272881945,3.70735243278185e-10,2.79682667529063e-08,13.5992556908593
"Q9D6M3",-2.64819520003081,24.3018243501474,-13.5030532507036,4.00981067412301e-10,2.90865497361384e-08,13.5192195354107
"P09405",1.51344129875057,27.2267767613098,13.3734641509529,4.61937953357151e-10,3.22672214826514e-08,13.3747384222438
"Q61937",2.67856445271887,25.7295376786193,13.0893324419506,6.32586679306244e-10,4.26092313275563e-08,13.0535000247382
"P32067",2.9265603567574,23.3843332014518,12.7019157035938,9.80292275312111e-10,6.37528010771945e-08,12.6053398354905
"P63158",3.42171743231332,25.0494162720132,15.0899685305518,1.43702798616383e-09,8.37005339001647e-08,12.4944001866609
"Q8CG76",-1.60663127279217,26.603704430702,-12.5067178304226,1.22755846310828e-09,7.71725087140739e-08,12.3749601272601
"P10107",4.60255478455823,22.5449014884175,12.4503061282381,1.31071533492163e-09,7.97422297310387e-08,12.307796443908
"P48036",2.81359177161026,28.6920967540296,12.3375792409247,1.49524453148698e-09,8.37005339001647e-08,12.1727883538142
"Q8CC88",-3.83756825909398,24.0793533343061,-12.3298200756992,1.50891736617476e-09,8.37005339001647e-08,12.163456275557
"P17717",-2.34528520930595,28.1750087165772,-12.2619727675303,1.63425751744881e-09,8.73950552485023e-08,12.0816382561622
"Q64464",-2.35922459822362,24.9551829471569,-12.2329696654283,1.69115230561723e-09,8.73950552485023e-08,12.04654377085
"Q99P30-3",-3.72483114473369,26.3163984344301,-12.2213466185423,1.71453713902152e-09,8.73950552485023e-08,12.0324594670123
"Q8BWF0",-2.06697918202759,25.878221081984,-12.0605882884155,2.07547247125635e-09,1.03008975810249e-07,11.8364697838954
"P11714",-3.4248043767377,25.9467786095343,-13.2303327746646,2.91637121737324e-09,1.30238780446728e-07,11.6874216284526
"P00375",1.86866657908202,25.252874107392,11.8999141571245,2.51738173697977e-09,1.18865967547675e-07,11.6383383433505
"P00920",2.80847848678342,26.3434029015087,11.8987194861294,2.5210173392932e-09,1.18865967547675e-07,11.6368566602207
"Q9QXG4",-2.50221578399978,25.5200873164113,-11.8481026737914,2.68026464980071e-09,1.23292173890833e-07,11.5739632629327
"P32261",2.82584126286057,25.224057868623,12.4059079110404,2.99040857218277e-09,1.30238780446728e-07,11.5597027136778
"A6X935",3.39998768408557,24.8094414450006,11.7449958153469,3.03844450671051e-09,1.30238780446728e-07,11.4451425210794
"Q8BGA8",-3.88693960688814,24.7890714972122,-12.2003524057133,3.75540791107728e-09,1.50695730218973e-07,11.3262489701947
"P34927",-2.32171827868719,25.2326802619729,-11.6273910076804,3.50959485207942e-09,1.47091019800484e-07,11.2970398259711
"Q9DAR7",3.5624198427005,23.5200936887556,11.5889993429315,3.67963295229984e-09,1.50695730218973e-07,11.2484200979127
"Q9WVD5",-3.28711475640559,24.9391581732191,-11.9376871705028,5.04777498649962e-09,1.90402072490766e-07,11.0228532158996
"P97429",2.40820770702898,25.7052013901589,11.3760643230476,4.79476450666506e-09,1.87033974264325e-07,10.9762914345743
"P23953",2.42414855110492,25.4308867594869,11.3653907312073,4.85931322319826e-09,1.87033974264325e-07,10.9625397140356
"P16045",3.11577300840271,26.1184674596236,11.3035656663064,5.2517008187845e-09,1.94209955769168e-07,10.8826744700399
"Q8VCU1",-5.2126857501985,26.264740225841,-14.2194352639033,7.9991379471657e-09,2.64673231023763e-07,10.8587957711563
"P60122",2.43691752549728,22.8979872078424,11.2544122486622,5.58749614585034e-09,2.02654187136033e-07,10.8189209198463
"Q3UQ44",-1.96336695378144,26.4625169816522,-11.208723090265,5.91998898467495e-09,2.10662249530131e-07,10.7594549290811
"O89086",3.81552817795436,26.1125524223886,13.9688999143305,9.77265830928413e-09,3.07187226188498e-07,10.6597583666485
"P49312",3.07506306721005,23.3440627048606,11.5860255994802,7.5639623288757e-09,2.54743445576064e-07,10.60745607126
"Q9D855",-2.1892489704435,26.1559768849303,-11.0691054985123,7.07190020835619e-09,2.46992662832588e-07,10.5764992142709
"P46656",-2.63479409658193,26.0030895959588,-12.1153787128157,9.03897172608629e-09,2.88940689413538e-07,10.532079738557
"P55096",-1.96880559593664,26.22897512767,-11.0171731394779,7.55879298090846e-09,2.54743445576064e-07,10.5079663428859
"Q8VEK3",2.16526912269064,26.6563086411718,10.9434726882977,8.31137815727371e-09,2.70263089734797e-07,10.4102555754317
"Q9DBL1",-3.14940650749293,25.180786188017,-11.8191344366594,1.23896763372852e-08,3.59404463036032e-07,10.2088862155652
"Q91WD5",-1.8752080374796,25.0433942146117,-10.7878549800853,1.01724471352474e-08,3.14512054050436e-07,10.2021823380869
"Q9QZ88",1.94781296827486,23.4391659244377,10.7054937970054,1.13309553445021e-08,3.44680351285983e-07,10.091082342813
"Q01279",-2.93624675590305,24.4339214896639,-10.6920849688449,1.15323767752807e-08,3.45239088859989e-07,10.0729301210852
"Q91W64",-2.60958369663514,25.4929330659963,-11.1287487584814,1.29940475805328e-08,3.61108680074306e-07,10.0508911224075
"P42125",-1.78322870982969,27.998366213871,-10.6697055263927,1.18770082430934e-08,3.50000586663659e-07,10.0425934751697
"P97855",1.65720830383463,24.8441829365647,10.6262711548044,1.25772505622365e-08,3.59404463036032e-07,9.98357088562961
"Q91XF0",-1.86093765844834,25.2814489619249,-11.6004676026732,1.57030470596251e-08,4.05697900745931e-07,9.96568070740328
"P13439",2.85459287489595,24.231406005964,10.6001153621212,1.30198251564437e-08,3.61108680074306e-07,9.94793552960418
"Q9DBH5",-1.6870858921763,24.3484599037112,-11.0320053434215,1.46033248252882e-08,3.91216102606209e-07,9.93068167160389
"Q8BWP5",-2.16845082875454,24.1494932566248,-10.5531905846965,1.38554992846846e-08,3.78716980448047e-07,9.88382898722508
