#nodeA	nodeB	score1
Rars	Pou5f1	0
Rars	Kdm6b	0
Rars	Isx	0
Rars	Crabp2	0
Gna13	Ctnnb1	0
Gna13	Cxcr4	0
Gna13	Lpar1	0
Gna13	Rhoc	0
Gna13	Rhoa	0
Gna13	Rhob	0
Gna13	Gnb1	0
Gna13	Ednra	0
Gna13	Ctnnd1	0
Gna13	Plch1	0
Gna13	Plce1	0
Gna13	Vav1	0
Gna13	Plch2	0
Gna13	Tbxa2r	0
Gna13	Gnb4	0
Gna13	Gnb3	0
Gna13	Gnb2	0
Gna13	Arhgef12	0
Gna13	Plcb2	0
Gna13	Kalrn	0
Gna13	Arhgef19	0
Gna13	Trio	0
Gna13	Cyth3	0
Gna13	Arfgef2	0
Gna13	Cyth2	0
Gna13	Cyth1	0
Gna13	Cyth4	0
Gna13	Arhgef18	0
Gna13	Cacna1a	0
Gna13	Plcb3	0
Gna13	Plcd3	0
Gna13	Plcd4	0
Gna13	Plcd1	0
Gna13	Plcb1	0
Arf6	Rhoa	0
Arf6	Rab11a	0
Arf6	Arf2	0
Arf6	Arf3	0
Arf6	Arf1	0
Arf6	Pip5k1a	0
Arf6	Pip5k1c	0
Arf6	Slc2a4	0
Arf6	Cyth3	0
Arf6	Arfgef2	0
Arf6	Arfgef1	0
Arf6	Cyth2	0
Arf6	Cyth1	0
Arf6	Cyth4	0
Arf6	Iqsec1	0
Arf6	Exoc7	0
Arf6	Pld2	0
Arf6	Exoc5	0
Arf6	Exoc3	0
Arf6	Exoc1	0
Arf6	Pld1	0
Cdkn1b	Cdk2	0
Cdkn1b	Cdk1	0
Cdkn1b	Rhoc	0
Cdkn1b	Rhoa	0
Cdkn1b	Rhob	0
Cdkn1b	Ccnd2	0
Cdkn1b	Cdk4	0
Cdkn1b	Ccnd3	0
Cdkn1b	Ccnd1	0
Cdkn1b	Myc	0
Cdkn1b	Foxo3	0
Cdkn1b	Foxo1	0
Cdkn1b	Ube2d1	0
Cdkn1b	Ube2e1	0
Cdkn1b	Foxo4	0
Cdkn1b	E2f1	0
Cdkn1b	Cdk5	0
Cdkn1b	Cdc16	0
Cdkn1b	Cdc27	0
Cdkn1b	Anapc1	0
Cdkn1b	Fzr1	0
Cdkn1b	Anapc7	0
Cdkn1b	Anapc4	0
Cdkn1b	Cdc23	0
Cdkn1b	Cdc26	0
Cdkn1b	Anapc5	0
Cdkn1b	Anapc2	0
Cdkn1b	Anapc10	0
Cdkn1b	Ube2c	0
Cdkn1b	Tert	0
Cdkn1b	Ptges3	0
Cdk2	Cdkn1b	0
Cdk2	Cdkn1a	0
Cdk2	Smad4	0
Cdk2	Smad3	0
Cdk2	Smad2	0
Cdk2	Rb1	0
Cdk2	Tp53	0
Cdk2	Hdac3	0
Cdk2	Ccnd1	0
Cdk2	Abl2	0
Cdk2	Abl1	0
Cdk2	Rbl1	0
Cdk2	Rbl2	0
Cdk2	Hdac1	0
Cdk2	Hdac2	0
Cdk2	Tfdp1	0
Cdk2	Atr	0
Cdk2	Ppp2r5c	0
Cdk2	Ube2d1	0
Cdk2	Ube2e1	0
Cdk2	E2f1	0
Cdk2	E2f3	0
Cdk2	E2f2	0
Cdk2	Cdc16	0
Cdk2	Cdc27	0
Cdk2	Anapc1	0
Cdk2	Fzr1	0
Cdk2	Anapc7	0
Cdk2	Anapc4	0
Cdk2	Cdc23	0
Cdk2	Cdc26	0
Cdk2	Anapc5	0
Cdk2	Anapc2	0
Cdk2	Anapc10	0
Cdk2	Ube2c	0
Cdk2	Cdc25b	0
Cdk2	Cdc25a	0
Cdk2	Ube2b	0
Cdk2	Ube2a	0
Cdk2	Mdm2	0
Cdkn1a	Cdk2	0
Cdkn1a	Cdk1	0
Cdkn1a	Rhoc	0
Cdkn1a	Rhoa	0
Cdkn1a	Rhob	0
Cdkn1a	Ccnb2	0
Cdkn1a	Ccnb1	0
Cdkn1a	Ccnd2	0
Cdkn1a	Cdk4	0
Cdkn1a	Ccnd3	0
Cdkn1a	Ccnd1	0
Cdkn1a	Myc	0
Cdkn1a	Foxo3	0
Cdkn1a	Foxo1	0
Cdkn1a	Ube2d1	0
Cdkn1a	Ube2e1	0
Cdkn1a	Foxo4	0
Cdkn1a	E2f1	0
Cdkn1a	E2f3	0
Cdkn1a	E2f2	0
Cdkn1a	Cdk5	0
Cdkn1a	Cdc16	0
Cdkn1a	Cdc27	0
Cdkn1a	Anapc1	0
Cdkn1a	Fzr1	0
Cdkn1a	Anapc7	0
Cdkn1a	Anapc4	0
Cdkn1a	Cdc23	0
Cdkn1a	Cdc26	0
Cdkn1a	Anapc5	0
Cdkn1a	Anapc2	0
Cdkn1a	Anapc10	0
Cdkn1a	Ube2c	0
Cdk1	Cdkn1b	0
Cdk1	Cdkn1a	0
Cdk1	Rb1	0
Cdk1	Tp53	0
Cdk1	Lyn	0
Cdk1	Fyn	0
Cdk1	Yes1	0
Cdk1	Src	0
Cdk1	Hdac3	0
Cdk1	Abl2	0
Cdk1	Abl1	0
Cdk1	Rbl1	0
Cdk1	Rbl2	0
Cdk1	Hdac1	0
Cdk1	Hdac2	0
Cdk1	Tfdp1	0
Cdk1	Atr	0
Cdk1	Ppp2r5c	0
Cdk1	E2f1	0
Cdk1	E2f3	0
Cdk1	E2f2	0
Cdk1	Cdc16	0
Cdk1	Cdc27	0
Cdk1	Anapc1	0
Cdk1	Fzr1	0
Cdk1	Cdc23	0
Cdk1	Rasgrf1	0
Cdk1	Cdc25b	0
Cdk1	Cdc25a	0
Cdk1	Ube2b	0
Cdk1	Ube2a	0
Fanci	Fancd2	0
Fanci	Rps27a	0
Fanci	Ubb	0
Fanci	Uba52	0
Fanci	Ubc	0
Fanci	Fancb	0
Fancd2	Fanci	0
Fancd2	Rps27a	0
Fancd2	Ubb	0
Fancd2	Uba52	0
Fancd2	Ubc	0
Fancd2	Fancb	0
Ilk	Ctnnb1	0
Ilk	Jun	0
Ilk	Fos	0
Ilk	Gsk3a	0
Ilk	Gsk3b	0
Ilk	Ppp1r14a	0
Ilk	Creb1	0
Ilk	Parp1	0
