#node	score1
Rars	-5.555
Gna13	-0.317982480091012
Arf6	-0.317982480091012
Cdkn1b	-0.317982480091012
Cdk2	-0.317982480091012
Cdkn1a	-0.317982480091012
Cdk1	-0.317982480091012
Fanci	-0.317982480091012
Fancd2	-0.317982480091012
Ilk	-2.7572
Gna12	-0.317982480091012
Gna15	-0.317982480091012
Plk1	-0.317982480091012
Smad9	-0.317982480091012
Smad4	-0.317982480091012
Smad3	-0.317982480091012
Rps6kb1	-0.317982480091012
Smad2	-0.317982480091012
Rps6kb2	-0.317982480091012
Smad1	-0.317982480091012
Smad5	-0.317982480091012
Rac1	-0.4487
Tyk2	-0.317982480091012
Jak1	-0.317982480091012
Jak2	-0.317982480091012
Nras	-0.317982480091012
Casp2	-0.317982480091012
Tlr4	-0.317982480091012
Ripk1	-0.317982480091012
Kras	-0.317982480091012
Traf2	-0.317982480091012
Fadd	-0.317982480091012
Map4k3	-0.317982480091012
Pak2	-4.0562
Rac2	-0.317982480091012
Pak3	-0.317982480091012
Map4k1	-0.317982480091012
Map4k5	-0.317982480091012
Pak1	-0.317982480091012
Cdc42	2.6207
Map4k4	-0.317982480091012
Traf6	-0.317982480091012
Hras	-5.1066
Map4k2	-0.317982480091012
Rac3	-0.317982480091012
Tradd	-0.317982480091012
Map3k7	-0.317982480091012
Casp8	-4.9814
Agt	-0.317982480091012
Cyld	-0.317982480091012
Slc9a3r1	2.8181
Nck2	-0.317982480091012
Nck1	-0.317982480091012
Tgm2	5.1916
Gng2	-0.317982480091012
Gnaq	-0.317982480091012
Gna11	-5.3343
Gna14	-0.317982480091012
Rab10	-5.868
Rab8a	-3.5922
Rab13	-0.317982480091012
Rhoq	-0.317982480091012
Ctnnb1	-4.8093
Dvl3	-0.317982480091012
Skp1	-3.3261
Insrr	-0.317982480091012
Tff1	-0.317982480091012
Dvl2	-0.317982480091012
Dvl1	-0.317982480091012
Cxcr4	-0.317982480091012
Cxcl12	-0.317982480091012
Rgs7	-0.317982480091012
Rgs2	-0.317982480091012
Rgs14	-0.317982480091012
F2	-0.2985
Lpar1	-0.317982480091012
Akt3	-0.317982480091012
F2r	-0.317982480091012
Agtr2	-0.317982480091012
Rgs18	-0.317982480091012
Rgs19	-0.317982480091012
Ednrb	-0.317982480091012
Rgs10	-0.317982480091012
Rgs6	-0.317982480091012
Rho	-0.317982480091012
Rgs16	-0.317982480091012
Rgs1	-0.317982480091012
Akt1	-0.317982480091012
Akt2	-0.317982480091012
Ptpn11	-0.317982480091012
Rgs4	-0.317982480091012
Spry2	-0.317982480091012
Met	-0.317982480091012
Rb1	-0.317982480091012
Mapk11	-0.317982480091012
Mapk14	-3.0578
Nup62	-0.317982480091012
Ranbp1	5.0216
Ranbp2	-0.317982480091012
Hsp90aa1	-4.0458
Hsp90ab1	-5.4365
Tp53	-0.317982480091012
Lipc	-0.317982480091012
Mttp	-4.9672
Apoa5	-0.317982480091012
Ldlrap1	-0.317982480091012
Apoc2	-0.317982480091012
Sar1b	-2.7352
Adipoq	-0.317982480091012
