gene,term
GM20899,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS
LOC100048117,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS
GCK,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS
LDHAL6B,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS
ALDH7A1,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS
ADH1,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS
ADH7,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS
ADH5,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS
ALDH2,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS
ALDH3A1,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS
ALDH3A2,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS
ALDOA,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS
ALDOC,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS
BPGM,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS
DLD,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS
ENO1,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS
ENO2,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS
ENO3,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS
FBP2,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS
FBP1,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS
G6PC,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS
G6PC2,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS
GAPDH,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS
GAPDHS,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS
GPI1,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS
HK1,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS
HK2,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS
