uniprot	name
P99024	Tubb5
Q9DBG1	Cyp27a1
Q8CI94	Pygb
Q9Z2Z6	Slc25a20
P29758	Oat
Q05421	Cyp2e1
Q8R0W0	Eppk1
Q3TW96	Uap1l1
Q9DCQ2	Aspdh
P62897	Cycs
P58710	Gulo
Q61147	Cp
Q9DBG5	Plin3
Q8K310	Matr3
Q921F2	Tardbp
Q01339	Apoh
Q64737	Gart
Q99020	Hnrnpab
Q91X52	Dcxr
Q8BTM8	Flna
P24456	Cyp2d10
P11276	Fn1
Q9WVA4	Tagln2
Q9D6M3	Slc25a22
P09405	Ncl
Q61937	Npm1
P32067	Ssb
P63158	Hmgb1
Q8CG76	Akr7a2
P10107	Anxa1
P48036	Anxa5
Q8CC88	Vwa8
P17717	Ugt2b17
Q64464	Cyp3a13
Q8BWF0	Aldh5a1
P11714	Cyp2d9
P00375	Dhfr
P00920	Ca2
Q9QXG4	Acss2
P32261	Serpinc1
A6X935	Itih4
Q8BGA8	Acsm5
P34927	Asgr1
Q9DAR7	Dcps
Q9WVD5	Slc25a15
P97429	Anxa4
P23953	Ces1c
P16045	Lgals1
Q8VCU1	Ces3b
P60122	Ruvbl1
Q3UQ44	Iqgap2
O89086	Rbm3
P49312	Hnrnpa1
Q9D855	Uqcrb
P46656	Fdx1
P55096	Abcd3
Q8VEK3	Hnrnpu
Q9DBL1	Acadsb
Q91WD5	Ndufs2
Q9QZ88	Vps29
Q01279	Egfr
Q91W64	Cyp2c70
P42125	Eci1
P97855	G3bp1
Q91XF0	Pnpo
P13439	Umps
Q9DBH5	Lman2
Q8BWP5	Ttpa
Q9JJU8	Sh3bgrl
Q99L04	Dhrs1
P52196	Tst
O70570	Pigr
Q8R2Y8	Ptrh2
P15105	Glul
Q9CQA3	Sdhb
O08997	Atox1
Q61703	Itih2
Q8K0C4	Cyp51a1
Q6PB66	Lrpprc
P29788	Vtn
Q9CXF0	Kynu
Q571F8	Gls2
Q91XE4	Acy3
P14148	Rpl7
O54754	Aox1
Q8R086	Suox
Q9JII6	Akr1a1
P48776	Tdo2
P62245	Rps15a
Q60854	Serpinb6
Q8VCW8	Acsf2
P14733	Lmnb1
Q9ESB3	Hrg
P16332	Mut
P29699	Ahsg
Q9WVM8	Aadat
Q9Z1N5	Ddx39b
P20918	Plg
E9Q414	Apob
Q9EP89	Lactb
Q9CPQ1	Cox6c
Q9CZU6	Cs
P28665	Mug1
Q00724	Rbp4
Q9D7B6	Acad8
P11589	Mup2
Q9CR61	Ndufb7
P23492	Pnp
P97742	Cpt1a
P62751	Rpl23a
